"dtype";"id";"is_admin";"nome";"senha";"username";"codigo";"matricula";"turma_id"
"Estudante";1;"0";"Paulo";"kacwxrwe";"paulo@mail.com";"";"ekiwdopgdrdt";0
"Estudante";2;"0";"Ricardo";"qpzqqvla";"ricardo@mail.com";"";"zuunhobikdet";1
"Estudante";3;"0";"Melissa";"utlqstdl";"melissa@mail.com";"";"yhdpoxbbhgba";2
"Estudante";4;"0";"Iara";"mtxlmzko";"iara@mail.com";"";"ltkiyqkjmtnz";3
"Estudante";5;"0";"Paulo";"vhzvqdlp";"paulo@mail.com";"";"qmlkhuwjrxyh";0
"Estudante";6;"0";"Ricardo";"oljmsorv";"ricardo@mail.com";"";"oraxbvukvidi";1
"Estudante";7;"0";"Melissa";"kqblptzt";"melissa@mail.com";"";"wbmyzqsqjnny";2
"Estudante";8;"0";"Iara";"nvmyswpb";"iara@mail.com";"";"ohxxmhmqxmeb";3
"Estudante";9;"0";"Paulo";"ivmeplkx";"paulo@mail.com";"";"vfxinnejpzvk";0
"Estudante";10;"0";"Ricardo";"ksfoxllw";"ricardo@mail.com";"";"mekvsmsoudnf";1
"Estudante";11;"0";"Melissa";"wqhinqgj";"melissa@mail.com";"";"vqsodggdhiqu";2
"Estudante";12;"0";"Iara";"kkanxzum";"iara@mail.com";"";"jsgdipkdzemt";3
"Estudante";13;"0";"Paulo";"hfzgkiit";"paulo@mail.com";"";"rembvokeikjv";0
"Estudante";14;"0";"Ricardo";"gdfmetqr";"ricardo@mail.com";"";"wqawbhhwmuqa";1
"Estudante";15;"0";"Melissa";"iiyvxpdl";"melissa@mail.com";"";"kanujymoxhsa";2
"Estudante";16;"0";"Iara";"mnvxcgzs";"iara@mail.com";"";"yktrdhyxrfpm";3
